SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
8369,317,TIMAR PUR,279/337/304 A IPC,05-Oct-20,UNKNOWN,TWW,NR BACHA JAIL OUTER RING RD MA,OUTER RING ROAD,2020
8461,317,BHAJAN PURA,279/337 IPC,28-Jun-19,S/C&M/C,TWW,SUBHASH MOHALLA,MINOR ROADS,2019
8510,317,DAYAL PUR,279/337 IPC,07-Jun-20,S/C&M/C,TWW,NR U TURN YAMUNA VIHAR,WAZIRABAD ROAD,2020
9436,317,MANSAROVER PARK,279/337/304 A IPC,27-Sep-18,UNKNOWN,TWW,NATHU COLONY FLYOVER KE UPER,100 FOOTA ROAD,2018
10050,317,SEELAM PUR,279/337 IPC,16-Jun-16,S/C&M/C,PED,Y POINT DHARAMPURA RED LIGHT O,GRANT TRUNK ROAD,2016
10296,317,SEEMA PURI,279/337 IPC,26-May-18,HTV/GDS,PED,INF SHAMSHAN GHAT SEEMAPURI,MINOR ROADS,2018
10454,317,SHAHDARA,279/304 A IPC,05-Dec-19,HTV/GDS,TWW,NR NALA SHAHDARA LONI RD,LONI ROAD,2019
10551,317,SHASTRI PARK,279/337 IPC,27-Jun-19,PVT CAR,TWW,NR IT PARK RED LIGHT,GRANT TRUNK ROAD,2019
11335,317,ALIPUR,279/337 IPC,12-Aug-17,UNKNOWN,PED,BAKOLI BUS STAND,GTK ROAD,2017
11447,317,ALIPUR,279/337 IPC,16-Jul-18,HTV/GDS,TWW,VILL-KHAMPUR RED LIGHT,GTK ROAD,2018
12983,317,MAHENDRA PARK,279/337 IPC,04-Aug-18,DELIVRY,TWW,CHOWK SHAHALAM BANDHA,GTK ROAD,2018
13263,317,MODEL TOWN,279/337 IPC,19-Apr-20,UNKNOWN,TWW,NR AZADPUR METRO STATION,RING ROAD,2020
15556,317,K.N.KATJU MARG,279/337 IPC,30-Jul-17,UNKNOWN,PED,F BLOCK SEC 15 ROHINI,MINOR ROADS,2017
16410,317,MAURYA ENCLAVE,279/337 IPC,30-Sep-19,PVT CAR,PED,INF OF VIP COLLEGE PITAMPURA,MINOR ROADS,2019
16978,317,ROHINI SOUTH,279/338 IPC,02-Sep-16,UNKNOWN,TWW,NR YUVA SHAKTI PUBLIC SCH,MINOR ROADS,2016
17178,317,SHAHBAD DAIRY,279/337/304 A IPC,31-Mar-16,GRM.SEW,SLF,MAIN BAWANA RD NR BAWANA CANAL,BAWANA ROAD,2016
17278,317,SHAHBAD DAIRY,279/337 IPC,13-Jun-17,HTV/GDS,TWW,SHAMSHAN GHAT PARK KE PASS HOL,MINOR ROADS,2017
18015,317,DHAULA KUAN(SOUTH CAMPUS),279/304 A IPC,21-Sep-16,PVT CAR,PED,GURUDWARA NANAKPURA NR INDIAN,RING ROAD,2016
18303,317,FATEHPUR BERI,279/337 IPC,08-Aug-18,S/C&M/C,PED,SSB RED LIGHT MG ROAD MYA NAGA,MINOR ROADS,2018
18876,317,KOTLA MUBARAK PUR,279/337 IPC,25-Sep-18,HTV/GDS,CAR,JLN FLYOVER I/F PACHIM KALI,MINOR ROADS,2018
19176,317,LODHI COLONY,279/337 IPC,13-Dec-20,PVT CAR,PED,PREM NAGAR U PASS,LODI ROAD,2020
19190,317,MAIDAN GARHI,279/337 IPC,14-Nov-19,TEMPO,PED,RADHA SWAMI SATSANG BHATIMINES,BHATTI MINE MARG,2019
19552,317,R.K. PURAM,279/337 IPC,16-Jun-16,HTV/GDS,TAX,NE SEC 2 R K PURAM TWS BHKAJI,AFRICA AVENUE,2016
19942,317,SAKET,279/337 IPC,03-Jul-17,PVT CAR,TWW,LADO SARAI RED LIGHT NR CHILDR,MEHRAULI BADARPUR RD,2017
20318,317,VASANT KUNJ NORTH,279/337 IPC,24-Jun-18,UNKNOWN,TWW,AMBIANCE MALL V.KUNJ,NELSON MANDELA MARG,2018
20707,317,VASANT VIHAR,279/337 IPC,22-Jul-17,S/C&M/C,PED,AMBEDKAR CHOWK MUNIRKA,MINOR ROADS,2017
20761,317,VASANT VIHAR,279/337 IPC,06-Sep-18,UNKNOWN,TWW,NR TRAFIC POLICE BOOTH VASANT,OUTER RING ROAD,2018
21608,317,GOVIND PURI,279/304 A IPC,13-Sep-18,UNKNOWN,TWW,R/A OKHLA,MINOR ROADS,2018
22136,317,JAIT PUR,279/337 IPC,03-Aug-20,TSR,TWW,MEETHAPUR EXTN  NR SHIVPURI,AGRA CANAL ROAD,2020
22340,317,KALKAJI,279/337 IPC,21-May-16,S/C&M/C,PED,NR NSIC BUS STAND KALKAJI,OUTER RING ROAD,2016
22766,317,NEW FRIENDS COLONY,279/304 A IPC,04-Oct-17,UNKNOWN,TWW,NR GATE NO 2 MAHARANI BAGH,MATHURA ROAD,2017
23057,317,OKHLA,279/337 IPC,01-Aug-18,TSR,TNK,"NR PETROL PUMP, OIE PHASE-III",ANAND MAI MARG,2018
24180,317,SUNLIGHT COLONY,279/337/304 A IPC,28-Sep-20,TSR,TWW,INF MILLENIUM DEPOT SARAI KALE,NH-24,2020
25881,317,UTTAM NAGAR,279/337 IPC,16-Apr-18,TEMPO,PED,HOSTEL LIG FLATS NALA RD,HASTAL ROAD,2018
26460,317,BINDA PUR,279/337 IPC,18-May-17,PVT CAR,PED,NR SURAJBHAN MAKAAN MATIYALA V,MINOR ROADS,2017
27053,317,INDER PURI,279/337 IPC,28-Nov-19,PVT CAR,PED,"PUSA GATE R/L,NDPL, INDERPURI",DEV PARKASH SHASTRI ROAD,2019
27708,317,MIANWALI,279/337 IPC,20-Jul-16,HTV/GDS,CAR,FLYOVER PEERGARHI TWDS M.CHOWK,OUTER RING ROAD,2016
28002,317,MUNDKA,279/304 A IPC,17-Aug-16,UNKNOWN,PED,PILLOR 506 OPP DELHI FURNITURE,ROHTAK ROAD,2016
28089,317,MUNDKA,279/337 IPC,27-Nov-17,UNKNOWN,CYR,NR METRO PILLER NO 712 ROHTAM,MINOR ROADS,2017
29030,317,PASCHIM VIHAR (EAST),279/337 IPC,19-Oct-17,UNKNOWN,PED,NR METRO PILAR NO. 212,ROHTAK ROAD,2017
29870,317,RAJOURI GARDEN,279/337/304 A IPC,18-Jun-17,PVT CAR,ERC,PILLOR NO 416 TAGOR GARDEN,NAJAF GARH ROAD,2017
30215,317,RANJIT NAGAR,279/337 IPC,03-Nov-17,UNKNOWN,TWW,SHADIPUR F/O,PATEL ROAD,2017
495,318,I.P. ESTATE,279/337 IPC,24-Nov-17,UNKNOWN,TWW,NR IP METRO STATION,RING ROAD,2017
683,318,KAMLA MARKET,279/337 IPC,13-Dec-18,HTV/GDS,TWW,I/F OF KHOTA NO -17 GB ROAD,GB ROAD,2018
1279,318,DELHI CANNT,279/304 A IPC,23-Dec-17,UNKNOWN,PED,INF MES WATER ELECTRIC SUPPLY,MINOR ROADS,2017
1383,318,DELHI CANNT,279/337 IPC,08-Dec-18,UNKNOWN,TWW,OPP. SUBROTO PARK,RAO TULA RAM MARG,2018
1485,318,DELHI CANNT,279/337 IPC,31-Dec-19,TAXI,HTV,NR SIGNAL ENCLAVE DELHI CANTT,RAO TULA RAM MARG,2019
1530,318,DELHI CANNT,279/338 IPC,07-Aug-20,UNKNOWN,TWW,NR PRAHLAD PUR R/L DELHI CANTT,DWARAKA FLYOVER ROAD,2020
1741,318,DWARKA,279/338 IPC,06-Nov-17,UNKNOWN,PED,RED LIGHT GOYALA DAIRY,MINOR ROADS,2017
1804,318,DWARKA,279/337 IPC,27-Nov-18,PVT CAR,TWW,SEC 21 DWAR NR SALARIA APTT,MINOR ROADS,2018
2490,318,DWARKA SOUTH,279/338 IPC,08-Jul-19,CTR BUS,TWW,RAJAPURI RED LIGHT,201 NO.ROAD,2019
7144,318,KASHMIRI GATE,279/337 IPC,09-Nov-19,PVT CAR,TWW,"FLYOVER ISBT, YUDESHTER SETU",RING ROAD,2019
7177,318,KASHMIRI GATE,279/337 IPC,25-Oct-20,PVT CAR,CAR,MORIGATE RED LIGHT,MINOR ROADS,2020
8704,318,GTB ENCLAVE,279/337 IPC,18-Aug-16,PVT CAR,ERC,INF SALEEM MASJID MS PARK METR,MINOR ROADS,2016
8790,318,GTB ENCLAVE,279/337 IPC,02-Oct-18,TAXI,TWW,JHILMIL METRO STN,GRANT TRUNK ROAD,2018
8841,318,GTB ENCLAVE,279/337 IPC,12-Oct-20,TEMPO,TWW,BEFORE U-TURN SHAHDARA FLYOVER,GRANT TRUNK ROAD,2020
8873,318,HARSH VIHAR,279/337 IPC,07-Jul-18,S/C&M/C,PED,GALI NO.12 MANDOLI,MINOR ROADS,2018
9402,318,MANSAROVER PARK,279/337 IPC,27-Sep-18,UNKNOWN,TWW,ON NATHU COLONY FLYOVER,100 FOOTA ROAD,2018
9421,318,MANSAROVER PARK,279/337 IPC,23-Dec-16,S/C&M/C,TWW,NR ICICI BANK ATM MANDOLI,MINOR ROADS,2016
10666,318,SONIA VIHAR,279/304 A IPC,05-Oct-17,UNKNOWN,TWW,O PUSTA SONIA VIHAR,PUSTA ROAD,2017
10918,318,ADARSH NAGAR,279/337/304 A IPC,20-Jul-16,HTV/GDS,TWW,BTW METRO PILLION NO. 100-107,GTK ROAD,2016
10969,318,ADARSH NAGAR,279/337 IPC,19-Aug-17,TRL/CON,TWW,AZADPUR F/O TOWARDS MUKANDPUR,MINOR ROADS,2017
11336,318,ALIPUR,279/304 A IPC,12-Aug-17,TEMPO,TWW,BAKHRAWAR PUR NIRANKARI RD MUK,GTK ROAD,2017
11596,318,ASHOK VIHAR,279/338 IPC,05-Jul-16,PVT CAR,PED,PNB BANK PH 1 ASHOK VIHAR,MINOR ROADS,2016
12661,318,JAHANGIR PURI,279/337 IPC,16-Jul-18,PVT CAR,PED,K BLOCK INF HNO 786 JAHANGIRPU,MINOR ROADS,2018
12698,318,JAHANGIR PURI,279/304 A IPC,04-Jul-20,UNKNOWN,TWW,NR BHALSA FLYOVER TOWARDS,DR. KB HEDGEWAR ROAD,2020
13790,318,NARELA (OLD IND. AREA),279/337 IPC,30-Jul-19,S/C&M/C,PED,INF PAPPU NURSARY PYAU MANIYAR,MINOR ROADS,2019
14248,318,SARASWATI VIHAR(SUBHASH PLACE),279/337 IPC,07-Aug-18,S/C&M/C,TSR,NR METRI STN SHAKERPUR,RING ROAD,2018
14431,318,SWAROOP NAGAR,279/337 IPC,26-Jul-16,PVT CAR,PED,GALI NO.4 SWAROOP NAGAR,MINOR ROADS,2016
14948,318,AMAN VIHAR,279/337 IPC,11-Jul-19,DELIVRY,PED,NR MAHARAJA AGARSEN COL,MINOR ROADS,2019
15397,318,BEGUM PUR,279/304 A IPC,10-Jun-18,HTV/GDS,TWW,SEC 24 ROHINI INF SS MAGIC,MINOR ROADS,2018
15952,318,MANGOL PURI,279/337 IPC,18-Feb-16,S/C&M/C,PED,NR MANGOLPURI RAILWAY UNDERPAS,MINOR ROADS,2016
17474,318,SHAHBAD DAIRY,279/337 IPC,09-Jul-20,UNKNOWN,TWW,NR PRAHLADPUR BUS STAND,MINOR ROADS,2020
18915,318,KOTLA MUBARAK PUR,279/337 IPC,20-Oct-19,PVT CAR,PED,NR PREM NAGAR SAFDERJUNG TERMI,MINOR ROADS,2019
19177,318,LODHI COLONY,279/337 IPC,17-Dec-20,UNKNOWN,TWW,NR SEWA NGR DEPOT LODHI COLONY,MINOR ROADS,2020
19831,318,SAFDARJUNG ENCLAVE,279/304 A IPC,26-Jul-20,UNKNOWN,PED,SJ HOSPITAL,RING ROAD,2020
20480,318,VASANT KUNJ SOUTH,279/337 IPC,01-Jul-18,PVT CAR,TWW,R/L NR CHURCH VASANT KUNJ,MINOR ROADS,2018
22001,318,JAIT PUR,279/337 IPC,05-Jun-17,UNKNOWN,TWW,NEAR LOHA  POOL,AGRA CANAL ROAD,2017
22341,318,KALKAJI,279/337 IPC,22-May-16,TEMPO,PED,NEHRU PLACE TERMINAL INF BHAIR,OUTER RING ROAD,2016
22427,318,KALKAJI,279/304 A IPC,09-Jun-19,UNKNOWN,PED,INF MOF MODI TOWER NEHRU PLEAC,OUTER RING ROAD,2019
24070,318,SUNLIGHT COLONY,279/337 IPC,17-Oct-18,HTV/GDS,TWW,SKK F/O,MINOR ROADS,2018
24461,318,BINDA PUR,279 IPC,17-Apr-16,DTC BUS,CAR,UTTAM NAGAR MAIN NAJAFGARH RD,NAJAF GARH ROAD,2016
24513,318,BINDA PUR,279/337 IPC,17-Apr-19,S/C&M/C,PED,INF OF M PILLAR 741 NAJF ROAD,NAJAF GARH ROAD,2019
24868,318,DWARKA,279/337 IPC,09-Aug-19,PVT CAR,PED,SHAHBAD MOHAMMAD PUR RD,201 NO.ROAD,2019
25172,318,KAPASHERA,279/304 A IPC,31-Jul-17,UNKNOWN,CAR,NR SUNNY MEDOWS GODOWN,BIJWASAN ROAD,2017
25303,318,KAPASHERA,279/337 IPC,16-Jul-19,TAXI,PED,MCD TOLL PALAM VIHAR RD,MINOR ROADS,2019
26394,318,ANAND PARBAT,279/337 IPC,06-Jul-16,S/C&M/C,TWW,ZAKHIRA F/O NR POLICE BOOTH DE,NEW ROHTAK ROAD,2016
27001,318,INDER PURI,279/338 IPC,28-Dec-17,PVT CAR,TWW,NR A BLOCK TODAPUR RAJENDR NAG,DEV PARKASH SHASTRI ROAD,2017
27449,318,MAYA PURI,279/304 A IPC,21-Dec-16,UNKNOWN,TWW,DELHI CANTT FLYOVER NR BUS STA,JAIL ROAD,2016
28412,318,NANGLOI,279/304 A IPC,02-Aug-17,UNKNOWN,TWW,KIRARI MORE UNDER FLYOVER TWDS,ROHTAK ROAD,2017
29914,318,RAJOURI GARDEN,279/304 A IPC,23-May-18,UNKNOWN,TWW,NR RAJOURI GARDEN METRO STN,RING ROAD,2018
840,319,NABI KARIM,279/304 A IPC,16-Sep-18,DELIVRY,BUL,ST. ANTHONY SCHLPUL PAHAR GANJ,DESH BANDU GUPTA RD,2018
871,319,PAHAR GANJ,279/337 IPC,20-Aug-16,DTC BUS,TSR,NR SARASWATI SISHU VIDYA MANDI,DESH BANDU GUPTA RD,2016
1050,319,SADAR BAZAR,279/337 IPC,24-Dec-17,PVT CAR,PED,NR RANI JHANSI RD T POINT SADA,MINOR ROADS,2017
1182,319,DELHI CANNT,279/304 A IPC,20-Nov-16,UNKNOWN,CYC,NR MAHARANA PARTAP DWAR GURGAO,NH-8,2016
2449,319,DWARKA SOUTH,279/304 A IPC,04-Oct-18,UNKNOWN,PED,N/R MADU VIHAR FIRE STATION,MINOR ROADS,2018
2491,319,DWARKA SOUTH,279/337 IPC,08-Jul-19,UNKNOWN,TWW,NR BSG SCHOOL DWARKA,MINOR ROADS,2019
3490,319,GEETA COLONY,279/337 IPC,24-Aug-16,PVT CAR,CAR,NR SDM OFF FLYOVER K UPPER,MINOR ROADS,2016
3807,319,KALYAN PURI,279/304 A IPC,30-Jun-19,UNKNOWN,TWW,EAST VINOD NAGAR,NH-24,2019
4017,319,LAXMI NAGAR (SHAKAR PUR),279/304 A IPC,13-Jul-17,DTC BUS,TWW,LOOP SHAKAPUR CHUNGI,YAMUNA PUSTA ROAD,2017
4534,319,MAYUR VIHAR,279/304 A IPC,26-Aug-18,UNKNOWN,PED,NOIDA LINK RD MAYUR VHR FLYOVE,YAMUNA PUSTA ROAD,2018
4829,319,PANDAV NAGAR,279/337 IPC,04-Jul-16,PVT CAR,PED,GALI KOTLA VILL MAYUR VIH -I,MINOR ROADS,2016
5303,319,VIVEK VIHAR,279/337 IPC,18-Jul-16,UNKNOWN,TWW,PARTIBHA SCHOOL NR SPRTS COMPL,MINOR ROADS,2016
6963,319,KASHMIRI GATE,279/337 IPC,02-Sep-16,DTC BUS,TWW,SHASTRI PARK TO ISBT DELHI,RING ROAD,2016
7088,319,KASHMIRI GATE,279/304 A IPC,14-Oct-18,UNKNOWN,PED,N/R NIGAM BODH GARH YAMUNABAZA,RING ROAD,2018
8462,319,BHAJAN PURA,279/337 IPC,28-Jun-19,DELIVRY,TWW,C BLOCK YAMUNA VIHAR,WAZIRABAD ROAD,2019
8477,319,BHAJAN PURA,279 IPC,09-May-20,TEMPO,CAR,NR MAIN GATE PS BHAJANPURA,MINOR ROADS,2020
10438,319,SHAHDARA,279/304 A IPC,15-Nov-18,UNKNOWN,PED,BABAR PUR ROADN/R HDFC BANK,BABAR PUR ROAD,2018
10737,319,SONIA VIHAR,279/338 IPC,04-Oct-20,PVT CAR,TWW,NR RED LIGHT PUSTA RD SONIA VI,PUSTA ROAD,2020
11187,319,ALIPUR,279/337 IPC,07-May-16,UNKNOWN,TWW,BAKHTAWAR PUR TO HIRANKI ROAD,MINOR ROADS,2016
11448,319,ALIPUR,279/337/338 IPC,17-Jul-18,PVT CAR,TWW,BAKTAWAR PILLA ROAD KABIR MAND,MINOR ROADS,2018
13548,319,NARELA (OLD IND. AREA),279/338 IPC,31-Jul-20,UNKNOWN,TWW,INF KS FMLY DHABA NARELA,ALIPUR ROAD,2020
14639,319,TIMAR PUR,279/337 IPC,14-Jul-17,UNKNOWN,PED,NR CNG PUMP SHRI RAM BASTI,OUTER RING ROAD,2017
14764,319,WAZIRABAD,279/304 A IPC,09-Nov-19,UNKNOWN,PED,NR STARTING POINT BURARI FLYOV,OUTER RING ROAD,2019
15434,319,BEGUM PUR,279/337 IPC,18-Oct-20,PVT CAR,PED,SECT-14 VARDHAMAN HOSPITAL,MINOR ROADS,2020
17018,319,ROHINI SOUTH,279/337 IPC,26-Nov-19,S/C&M/C,TWW,"SEC-3, ROHINI",MINOR ROADS,2019
18916,319,KOTLA MUBARAK PUR,279/304 A IPC,21-Oct-19,S/C&M/C,SLF,INF NALLI SHOWROOM ADREWS GANJ,RING ROAD,2019
19378,319,MEHRAULI,279/337 IPC,04-Jun-18,UNKNOWN,PED,KALKA DAS MARG NR KUTUB MINAR,MINOR ROADS,2018
20231,319,VASANT KUNJ NORTH,279/337 IPC,07-Jun-16,GRM.SEW,PED,NR FORTIS HOSPITAL VASANT KUNJ,ARUNA ASFALI MARG,2016
22002,319,JAIT PUR,279/337 IPC,05-Jun-17,S/C&M/C,PED,NEAR TILANA PARK JJ CLY,MINOR ROADS,2017
22484,319,LAJPAT NAGAR,279/337 IPC,11-May-16,S/C&M/C,PED,INF HDFC BANK L NAGAR-1 TS MOO,LALA LAJPAT RAI PATH,2016
22801,319,NEW FRIENDS COLONY,279/304 A IPC,25-Dec-18,PVT CAR,TWW,OPP CRRI MATHURA RD PRIYANKA C,MATHURA ROAD,2018
23489,319,SANGAM VIHAR,279/337 IPC,09-Aug-18,DTC BUS,GMS,SANGAM VIHAR,MINOR ROADS,2018
23754,319,SARITA VIHAR,279/304 A IPC,23-Aug-20,TSR,PED,JASOLA RED LIGHT NR NALA SARIT,13A NO ROAD,2020
23816,319,SARITA VIHAR,279 IPC,01-Oct-18,BUS OTR,CAR,OKHLA TANK ASHRAM TO BADARPUR,MATHURA ROAD,2018
24181,319,SUNLIGHT COLONY,279/337 IPC,28-Sep-20,UNKNOWN,PED,ASHRAM CHOWK NR NAFED BUILDING,RING ROAD,2020
24255,319,BABA HARIDAS NAGAR,279/337/304 A IPC,16-Nov-16,TRACTOR,TWW,MITRAON CHOWK NR MITRAON BUS S,NAJAF GARH ROAD,2016
25110,319,KAPASHERA,279/337 IPC,31-Oct-16,UNKNOWN,TWW,NR SHIV MANDIR OLD DELHI GURGA,MINOR ROADS,2016
26106,319,VIKAS PURI,279/337 IPC,17-Mar-16,S/C&M/C,PED,FRM CHANDER VIHAR TO OUTER RIN,OUTER RING ROAD,2016
26531,319,DABRI,279/337 IPC,28-Mar-16,UNKNOWN,PED,60 FOTA RD MAHAVIR ENCLAVE,MINOR ROADS,2016
27159,319,JANAK PURI,279/304 A IPC,01-Aug-17,UNKNOWN,TWW,NR MATA CHANAN DEVI HOSPITAL J,PANKHA ROAD,2017
28473,319,NANGLOI,279/337 IPC,26-Aug-18,UNKNOWN,PED,"NANGLOI FLYOVER, ROHTAK ROAD",ROHTAK ROAD,2018
28666,319,NARAINA,279/337 IPC,29-Nov-18,UNKNOWN,PED,C BLOCK NAAINA NR WATER TANK,MINOR ROADS,2018
29705,319,PUNJABI BAGH,279/337 IPC,09-Apr-20,PVT CAR,PED,SHIVAJI PARK METRO STATION ROH,ROHTAK ROAD,2020
29869,319,RAJOURI GARDEN,279/337 IPC,16-Jun-17,PVT CAR,TWW,NR KUKREJ AHOSPITAL RED LIGHT,NAJAF GARH ROAD,2017
1051,320,SADAR BAZAR,279/337 IPC,24-Dec-17,UNKNOWN,PED,NR PS SADAR BAZAR,MINOR ROADS,2017
1486,320,DELHI CANNT,279/338 IPC,31-Dec-19,PVT CAR,TWW,NR BUS STOP DELHI CANTT,KARIYAPPA MARG,2019
1742,320,DWARKA,279/337 IPC,07-Nov-17,PVT CAR,PED,SEC 19 AND SEC 10 DWARKA RED L,MINOR ROADS,2017
2257,320,DWARKA SOUTH,279/337 IPC,23-May-16,UNKNOWN,TWW,NR BUS STAND RISHI APPT SEC-7,MINOR ROADS,2016
2535,320,DWARKA SOUTH,279/338 IPC,08-Aug-20,S/C&M/C,PED,NR MADHU VIHAR BUS STAND,201 NO.ROAD,2020
3093,320,FARSH BAZAR,279/337 IPC,05-Aug-20,S/C&M/C,TWW,"NR GALI NO 8/9, VISWAS NAGAR",MINOR ROADS,2020
3187,320,GAJI PUR,279/304 A IPC,02-Sep-17,UNKNOWN,PED,NR MURGA MANDI,NH-24,2017
3456,320,GANDHI NAGAR,279/304 A IPC,29-Aug-20,UNKNOWN,PED,NR IRON BRIDGE INF SONIA GANDH,YAMUNA PUSTA ROAD,2020
4137,320,MADHU VIHAR,279/337 IPC,30-May-16,S/C&M/C,TWW,AJANTA MKT NR VIJAY LAXMI APPT,MINOR ROADS,2016
4355,320,MANDAWLI,279/337 IPC,30-May-16,S/C&M/C,TWW,AJANTA MKT NR VIJAY LAXMI APPT,MINOR ROADS,2016
4488,320,MAYUR VIHAR,279/337 IPC,09-Sep-17,TAXI,TWW,GAJIPUR NALA ROAD,MINOR ROADS,2017
7229,320,KASHMIRI GATE,279/337 IPC,11-Nov-19,TEMPO,TMP,FLYOVER HANUMAN MANDIR JAMUNA,RING ROAD,2019
8043,320,SARAI ROHILA,279/337 IPC,18-Aug-18,UNKNOWN,PED,MAIN ROAD SHASHTRI NAGAR P-170,ROAD NO 40,2018
11449,320,ALIPUR,279/337 IPC,18-Jul-18,UNKNOWN,TWW,MAIN GT ROAD SINGHU BORDER,GTK ROAD,2018
11921,320,BHARAT NAGAR,279 IPC,28-Sep-17,HTV/GDS,CAR,AMBEDKAR RD,MINOR ROADS,2017
12527,320,JAHANGIR PURI,279/304 A IPC,11-Jul-19,UNKNOWN,PED,UNDER MUKUNDPUR FLYOVER,OUTER RING ROAD,2019
12907,320,MAHENDRA PARK,279/337 IPC,23-Jun-16,TEMPO,PED,SHED NO 16 & 17 FRUIT MANDI AZ,MINOR ROADS,2016
13089,320,MANGOL PURI,279/337 IPC,22-Mar-19,S/C&M/C,PED,PARWANA RD PITAMPURA,PARWANA ROAD,2019
13244,320,MODEL TOWN,279/337 IPC,25-Aug-19,TSR,TWW,"METRO STN AZADPUR , KINGSWAY C",RING ROAD,2019
13523,320,NARELA (IND. AREA),279/337 IPC,27-Jun-20,UNKNOWN,TSR,NR CNG PUMP DSIDC NARELA,MINOR ROADS,2020
13724,320,NARELA (OLD IND. AREA),279/304 A IPC,01-May-18,HTV/GDS,CAR,NR BHORGARH VILLAGE,MINOR ROADS,2018
14640,320,TIMAR PUR,279/337 IPC,14-Jul-17,TEMPO,TWW,NR DIVERSITY PARK,MINOR ROADS,2017
14765,320,WAZIRABAD,279/337 IPC,11-Nov-19,TEMPO,PED,HARDEV NAGAR CC RD,MINOR ROADS,2019
15188,320,BAWANA,279/304 A IPC,13-Jul-19,TRACTOR,PED,BC BLOCK SEC-4 DSIIDC,BAWANA ROAD,2019
15749,320,KANJHAWALA,279/337 IPC,17-Aug-16,S/C&M/C,TWW,NR JONTI VILL MORE INF VARDHAA,MINOR ROADS,2016
15924,320,KANJHAWALA,279/337 IPC,30-Aug-20,UNKNOWN,TWW,NR NEELAM P PUMP KANJHAWALA,MINOR ROADS,2020
16371,320,MAURYA ENCLAVE,279/304 A IPC,11-Sep-18,PVT CAR,CYC,"METRO P.NO. 27, OUTER RING RD",OUTER RING ROAD,2018
16625,320,PRASHANT VIHAR,279/337 IPC,19-Jun-17,UNKNOWN,PED,T POINT SEC 9 DC CHOWK,MINOR ROADS,2017
16724,320,RAJ PARK,279/337 IPC,09-Apr-19,TEMPO,PED,U BLK MAIN RD MANGOLPURI,MINOR ROADS,2019
16847,320,ROHINI NORTH,279/337 IPC,03-Aug-16,PVT CAR,TWW,KV ROAD SEC-8 ROHINI,MINOR ROADS,2016
17179,320,SHAHBAD DAIRY,279/337 IPC,02-Apr-16,DELIVRY,TWW,MAHADEV CHOWK PARHLADPUR,MINOR ROADS,2016
18491,320,HAUZ KHAS,279/337 IPC,12-Sep-17,TAXI,TWW,HAUS KHAS RED LIGHT AURVINDO M,AUROBINDO MARG,2017
18917,320,KOTLA MUBARAK PUR,279/337 IPC,22-Oct-19,S/C&M/C,PED,NR BUS STAND OPP JWALA PRASAD,BHISHM PITAMAH MARG,2019
20087,320,SAKET,279/338 IPC,02-Nov-20,PVT CAR,PED,NR KHOKHA MKRT J BLOCK SAKET,MINOR ROADS,2020
20124,320,SAROJNI NAGAR,279/304 A IPC,04-Jul-16,UNKNOWN,TWW,NR PILLANJI BUS STAND SARJINI,MINOR ROADS,2016
20762,320,VASANT VIHAR,279/337 IPC,10-Sep-18,PVT CAR,TWW,NR DPS SCHOOL VASANT VIHAR,MINOR ROADS,2018
20978,320,BADAR PUR,279/337 IPC,13-Aug-16,HTV/GDS,TSR,NR BAJRANG HOSPITAL BADARPUR D,JAITPUR ROAD,2016
21402,320,DR AMBEDKAR NAGAR,279/304 A IPC,11-Jul-17,TEMPO,PED,240 KHANPUR VILLAGE MB ROAD NE,MEHRAULI BADARPUR RD,2017
21894,320,HAZRAT NIZAMUDDIN,279/337 IPC,15-Oct-20,UNKNOWN,TWW,UN BARAPULLA FLY  OVER,LAJPAT RAI MARG,2020
23058,320,OKHLA,279/337 IPC,05-Aug-18,S/C&M/C,TWW,HONDA SHOWROM OKHLA PHASE-I,ANAND MAI MARG,2018
23563,320,SARITA VIHAR,279/337 IPC,02-Jul-16,PVT CAR,PED,JASOLA UNDER PASS SARITA VIHAR,MINOR ROADS,2016
24349,320,BABA HARIDAS NAGAR,279/338 IPC,28-Oct-18,TANKER,TWW,NAJAFGARH CHOWK MOD JHARODA RD,JHARODA ROAD,2018
24392,320,BABA HARIDAS NAGAR,279/337 IPC,01-Aug-19,PVT CAR,TWW,NR BABA HARIDAS NAGAR BSU STND,NAJAF GARH ROAD,2019
25111,320,KAPASHERA,279/338 IPC,02-Nov-16,UNKNOWN,TWW,AFTER UNDER PASS IOC OPP SIDE,201 NO.ROAD,2016
25985,320,VASANT KUNJ SOUTH,279/337 IPC,20-Apr-16,HTV/GDS,TAX,CITY PARK HOTEL INF RAJOKRI BR,NH-8,2016
26013,320,VASANT KUNJ SOUTH,279/337 IPC,13-Jul-17,HTV/GDS,TWW,STARTING POINT OF RAJOURI F/O,NH-8,2017
26700,320,DELHI CANNT,279/304 A IPC,26-Dec-17,UNKNOWN,TWW,NR METRO PILLAR NO 27 NARAINA,RING ROAD,2017
27345,320,KIRTI NAGAR,279/337 IPC,16-Sep-17,PVT CAR,PED,MTRO PILLAR NO 217,RING ROAD,2017
27607,320,MIANWALI,279/337 IPC,20-Jul-16,S/C&M/C,TWW,OPP. NAGIN LAKE,OUTER RING ROAD,2016
